"","Clade","Genus","Species","double","English","Bill","Mass","WingChord"
"1","Coquettes","Adelomyia","melanogenys","Adelomyia melanogenys","Speckled Hummingbird",15.04,4.245,55.87
"2","Brilliant","Aglaeactis","cupripennis","Aglaeactis cupripennis","Shining Sunbeam",18.71,8.44,85.62
"3","Coquettes","Aglaiocercus","coelestis","Aglaiocercus coelestis","Violet-tailed Sylph",16.25,6.07,68.68
"4","Coquettes","Aglaiocercus","kingi","Aglaiocercus kingi","Long-tailed Sylph",15.77,5.53,67.12
"5","Emerald","Amazilia","amazilia","Amazilia amazilia","Amazilia Hummingbird",18.54,4.07,53.33
"6","Emerald","Amazilia","castaneiventris","Amazilia castaneiventris","Chestnut-bellied Hummingbird",18.7,4.75,52.7
"7","Emerald","Amazilia","cyanura","Amazilia cyanura","Blue-tailed Hummingbird",17.77,4.94,54.5
"8","Emerald","Amazilia","fimbriata","Amazilia fimbriata","Glittering-throated Emerald",20.655,5.135,55.12
"9","Emerald","Amazilia","franciae","Amazilia franciae","Andean Emerald",22.71,5.27,55.03
"10","Emerald","Amazilia","saucerrottei","Amazilia saucerrottei","Steely-vented Hummingbird",17.515,4.625,52.11
"11","Emerald","Amazilia","tzacatl","Amazilia tzacatl","Rufous-tailed Hummingbird",20.14,5.02,55.55
"12","Emerald","Amazilia","versicolor","Amazilia versicolor","Versicolored Emerald",15.87,3.73,49.93
"13","Emerald","Amazilia","viridicauda","Amazilia viridicauda","Green-and-white Hummingbird",18.42,4.49,53.53
"14","Mangoe","Androdon","aequatorialis","Androdon aequatorialis","Tooth-billed Hummingbird",33.46,7.38,67.96
"15","Emerald","Anthocephala","floriceps","Anthocephala floriceps","Blossomcrown",14.84,2.76,50.36
"16","Mangoe","Anthracothorax","nigricollis","Anthracothorax nigricollis","Black-throated Mango",24.23,7.51,69.26
"17","Brilliant","Boissonneaua","flavescens","Boissonneaua flavescens","Buff-tailed Coronet",16.88,8.44,78.42
"18","Brilliant","Boissonneaua","jardini","Boissonneaua jardini","Velvet-purple Coronet",19.2,9.9,76.2
"19","Brilliant","Boissonneaua","matthewsii","Boissonneaua matthewsii","Chestnut-breasted Coronet",18.1071428571429,7.71428571428571,73.4285714285714
"20","Bee","Calliphlox","mitchellii","Calliphlox mitchellii","Purple-throated Woodstar",14.13,2.93,35.25
"21","Emerald","Campylopterus","falcatus","Campylopterus falcatus","Lazuline Sabrewing",23.97,7.38,68.66
"22","Emerald","Campylopterus","largipennis","Campylopterus largipennis","Gray-breasted Sabrewing",25.25,9.13,72.83
"23","Emerald","Campylopterus","villaviscensio","Campylopterus villaviscensio","Napo Sabrewing",26.3166666666667,8.5,69.6666666666667
"24","Bee","Chaetocercus","astreans","Chaetocercus astreans","Santa Marta Woodstar",13.2,2.25,30.2
"25","Bee","Chaetocercus","heliodor","Chaetocercus heliodor","Gorgeted Woodstar",12.6,2.5,31.3
"26","Bee","Chaetocercus","mulsant","Chaetocercus mulsant","White-bellied Woodstar",16.97,3.59,39.67
"27","Coquettes","Chalcostigma","herrani","Chalcostigma herrani","Rainbow-bearded Thornbill",12.42,6.25,69.39
"28","Coquettes","Chalcostigma","heteropogon","Chalcostigma heteropogon","Bronze-tailed Thornbill",13.03,5.74,66.66
"29","Coquettes","Chalcostigma","stanleyi","Chalcostigma stanleyi","Blue-mantled Thornbill",9.9,5,67.5
"30","Emerald","Chalybura","buffonii","Chalybura buffonii","White-vented Plumeleteer",25.025,7.065,71.045
"31","Emerald","Chalybura","urochrysia","Chalybura urochrysia","Bronze-tailed Plumeleteer",23.43,7.2,70.5
"32","Emerald","Chlorestes","notata","Chlorestes notata","Blue-chinned Sapphire",17.9,3.8,49.4
"33","Emerald","Chlorostilbon","gibsoni","Chlorostilbon gibsoni","Red-billed Emerald",15.68,2.85,46.52
"34","Emerald","Chlorostilbon","melanorhynchus","Chlorostilbon melanorhynchus","Western Emerald",13.81,2.69,46.11
"35","Emerald","Chlorostilbon","mellisugus","Chlorostilbon mellisugus","Blue-tailed Emerald",15.03,2.61,44.2
"36","Emerald","Chlorostilbon","olivaresi","Chlorostilbon olivaresi","Chiribiquete Emerald",19.73,3.68,49.83
"37","Emerald","Chlorostilbon","poortmani","Chlorostilbon poortmani","Short-tailed Emerald",17.26,2.95,43.13
"38","Mangoe","Chrysolampis","mosquitus","Chrysolampis mosquitus","Ruby-topaz Hummingbird",12.38,3.73,54.72
"39","Emerald","Chrysuronia","oenone","Chrysuronia oenone","Golden-tailed Sapphire",20.645,4.75,53.41
"40","Brilliant","Coeligena","bonapartei","Coeligena bonapartei","Golden-bellied Starfrontlet",28.88,6.78,75.65
"41","Brilliant","Coeligena","coeligena","Coeligena coeligena","Bronzy Inca",29.02,6.76,72.74
"42","Brilliant","Coeligena","helianthea","Coeligena helianthea","Blue-throated Starfrontlet",28.61,6.97,73.27
"43","Brilliant","Coeligena","iris","Coeligena iris","Rainbow Starfrontlet",27.4435714285714,6.93571428571429,82.2142857142857
"44","Brilliant","Coeligena","lutetiae","Coeligena lutetiae","Buff-winged Starfrontlet",30.89,7.58,75.49
"45","Brilliant","Coeligena","orina","Coeligena orina","Dusky Starfrontlet",32.15,7.08,74.9
"46","Brilliant","Coeligena","phalerata","Coeligena phalerata","White-tailed Starfrontlet",28.03,6.85,75.07
"47","Brilliant","Coeligena","prunellei","Coeligena prunellei","Black Inca",27.99,7.4,77.29
"48","Brilliant","Coeligena","torquata","Coeligena torquata","Collared Inca",32.41,7.58,78.7
"49","Brilliant","Coeligena","wilsoni","Coeligena wilsoni","Brown Inca",33.57,7.01,70.9
"50","Mangoe","Colibri","coruscans","Colibri coruscans","Sparkling Violetear",24.43,8.21,78.58
"51","Mangoe","Colibri","delphinae","Colibri delphinae","Brown Violetear",17.35,7.03,73.81
"52","Mangoe","Colibri","thalassinus","Colibri thalassinus","Green Violetear",20.89,5.51,67.4
"53","Emerald","Damophila","julie","Damophila julie","Violet-bellied Hummingbird",14.44,3.22,44.02
"54","Coquettes","Discosura","conversii","Discosura conversii","Green Thorntail",12,2.65,42.56
"55","Coquettes","Discosura","langsdorffi","Discosura langsdorffi","Black-bellied Thorntail",12.9,2.88,34.7
"56","Coquettes","Discosura","popelairii","Discosura popelairii","Wire-crested Thorntail",10.6,2.6,35
"57","Mangoe","Doryfera","johannae","Doryfera johannae","Blue-fronted Lancebill",27.72,4.38,54.99
"58","Mangoe","Doryfera","ludovicae","Doryfera ludovicae","Green-fronted Lancebill",32.59,6.01,61.36
"59","Brilliant","Ensifera","ensifera","Ensifera ensifera","Sword-billed Hummingbird",77.88,9.68,76.83
